ID (Last 3 digits of your SJSU one ID)	Age?	Gender	Preferred genres	Rating [Rogue One/Star Wars]	Rating [The Lord of the Rings]	Rating [Trolls]	Rating [Despicable Me]	Rating [Kubo]	Rating [The hangover]	Rating [Captain America]	Rating [The big Lebowski]	Rating [Almost famous]	Rating [The hunger games]	Rating [Pulp Fiction]	Rating [Sing]	Rating [500 days of Summer]	Rating [Twilight]	Rating [Lala Land]	Rating [A Fantastic Woman]	Rating [Loveless]	Rating [The Insult]	Rating [The Square]
727	21-30	Male	Comedy, Action	2	2	2	2	3	3	3	3	3	3	3	3	2	4	4	3	3	3	3
560	21-30	Female	Comedy, Romantic, Drama	2	2	3	3	2	3	2	2	2	2	2	2	3	3	1	1	3	3	3
187	21-30	Male	Sci-Fi and Fantasy, Animation	N/A	5	N/A	4	N/A	5	5	N/A	N/A	3	4	N/A	N/A	3	N/A	N/A	N/A	N/A	N/A
13748475	21-30	Female	Comedy, Action, Sci-Fi and Fantasy, Romantic, Animation, Drama	N/A	N/A	3	5	N/A	5	N/A	N/A	N/A	N/A	N/A	N/A	N/A	3	2	N/A	N/A	N/A	N/A
26	21-30	Male	Comedy, Animation	4	4	2	4	2	4	3	2	2	2	3	2	3	1	2	2	2	2	3
988	21-30	Male	Comedy, Action, Sci-Fi and Fantasy, Romantic	3	4	3	3	3	3	5	3	3	5	3	3	3	5	4	3	3	3	3
440	21-30	Male	Action, Sci-Fi and Fantasy	4	5	N/A	4	4	5	4	N/A	N/A	3	N/A	N/A	N/A	4	N/A	N/A	N/A	N/A	N/A
578	21-30	Female	Comedy, Action, Sci-Fi and Fantasy, Drama	N/A	5	N/A	N/A	N/A	3	3	N/A	N/A	N/A	5	N/A	N/A	4	4	N/A	N/A	N/A	N/A
518	21-30	Female	Comedy, Sci-Fi and Fantasy, Romantic	N/A	N/A	N/A	N/A	4	4	3	3	N/A	4	4	4	N/A	4	2	4	4	4	4
785	21-30	Female	Comedy, Sci-Fi and Fantasy, Romantic	N/A	N/A	N/A	N/A	N/A	N/A	3	3	2	N/A	N/A	4	N/A	N/A	5	5	N/A	N/A	N/A
571	21-30	Male	Romantic	4	4	4	4	5	4	4	N/A	N/A	N/A	N/A	N/A	4	5	5	N/A	N/A	N/A	N/A
